Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Kaat,,Laika,"04/07, Jishnu",Natural Goods,Consumer Goods,Bulgaria,https://laika.bg/contact-us,https://laika.bg,Yes,,,,Active,Private,Natural goods shop with refillable products,,,Bulgaria,,,,,,,,Natural goods shop that supports reuse and provides refillables
Giulia ,,Lamazuna ,"26/06, Jishnu",Refillable products ,Consumer goods ,France,contact@lamazuna.com ,https://www.lamazuna.com/,Yes,lamazuna,Yes,2009,Active,Private,B2C zero-waste refillable personal care and cosmetics,,,France and global,,,,,,,,Refillable personal care and cosmetic zero waste products.
Sam,,Lana,low priority,Reusable Packaging,Consumer Goods ,Philippines,https://lana.ph/pages/contact-us,https://lana.ph/,Yes,,,,Active,Private,Skincare in repurposable packaging + refill station in Las Piñas,,,Philippines,,,,,,,,"A skincare brand whose packaging is built to be repurposed (e.g., travel kits or refillable bottles), with a refill station in Las Piñas."
"Giulia, 30/06",,LastObject,30/06,Reusable products ,Consumer goods ,Denmark ,hello@lastobject.com ,https://lastobject.co.uk/,Yes,last.object,Yes,2019,Active,Private,"Reusable alternatives to single-use personal care items (swabs, tissues)",,,Denmark and global,,,,,,,,Offers Reusable Products to single use personal care items such as cotton swabs and tissues 
Kaat,,Laververt,"27/06, Jishnu",Refillable Products,Consumer Goods,Belgium,info@laververt.be,https://www.laververt.com/en,Yes,,,,Active,Private,In-store cleaning and personal hygiene product refills,,,Belgium,,,,,,,,Offers cleaning and personal hygiene products refills in stores
Giulia ,,Le Drive Tout Nu ,not suitable currently,Reusable Packaging,Consumer goods ,France,contact@ledrivetoutnu.com ,https://ledrivetoutnu.com/,Yes,,,,Active,Private,Groceries in reusable containers returned for sterilisation and reuse,,,France,,,,,,,,Offers groceries in resusable containers that can be returned fro sterlisation and reuse 
Kaat,,Le Vrac,"04/07, Jishnu",Refillable Products,Consumer Goods ,France,info@levrac.store,https://www.levrac.store,Yes,,,,Active,Private,Zero-waste store + refill dispensers,,,France,,,,,,,,"Zero waste store in France, also developed refill dispensers "
Prathmesh,,Lemon and Lavender,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,info@lemonandlavendermadison.com,https://lemonandlavendermadison.com/,Yes,,,,Active,Private,Eco household products + reusable container incentives for customers,,,United States,,,,,,,,Produces eco-friendly household products and provide incentives to customers using reusable containers
Sam,,Lena the Fashion Library,not suitable currently,Shared-use rental service,Consumer Goods,Netherlands,info@lena-library.com,https://lena-library.com/,Yes,,,,Active,Private,Clothing rental for sustainable shared-use fashion,,,Netherlands,,,,,,,,Offers clothing rentals to promote sustainable fashion and shared-use.
Jishnu,,Let it Green,"26/06, Jishnu",Zero Waste,Consumer Goods,Mexico,ventas@letitgreen.mx,https://letitgreen.mx/,Yes,,,,Active,Private,Eco personal care + plastic-free living kits and tools for home refill,,,Mexico,,,,,,,,"Provides eco-friendly personal care products and online kits and tools for plastic-free living, supporting consumers in starting home-based refill and reuse systems."
Giulia ,,Let’s Get Naked Refill,"01/07, Jishnu",Refillable Products ,Consumer goods ,United Kingdom,letsgetnakedrefill@gmail.com,https://letsgetnakedrefill.co.uk/,,,,,,,,,,,,,,,,,,Bulk food and cleaning product refills 
Jishnu,,Libattion AG,not suitable currently,Reusable Products,Materials Supplier,Switzerland,info@libattion.com,https://libattion.com/,Yes,,,,Active,Private,Used EV battery cells upcycled into stationary energy storage systems,,,Switzerland,,,,,,,,A Swiss industrial cleantech company converting used EV battery cells into upcycled stationary energy storage systems at grid and industrial scales.
Prathmesh ,,Life Essentials,"24/06, Jishnu",Refill Stations,Consumer Goods ,United States,sheila@lifeessentialsrefillery.com,https://www.lifeessentialsrefillery.com/,Yes,,,,Active,Private,Refill station + organic raw materials sustainable lifestyle store (Florida),,,United States,,,,,,,,"Sustainable lifestyle store in Florida that offers refill stations for personal and home care products, along with organic raw materials"
Kaat,,LifeBag,low priority,Reusable Bags,Packaging Solutions,Kazakstan,madina.m@lifebag.kz,http://lifebag.kz,Yes,,,,Active,Private,Non-woven spunbond eco-bags,,,Kazakhstan,,,,,,,,Offers on-woven spunbond eco-bags
Prathmesh,,LimeLoop,not suitable currently,Reuse and Circular Economy,Packaging Solutions,United States,chantal@thelimeloop.com,https://www.thelimeloop.com/,Yes,,,,Active,Private,Circular zero-waste e-commerce delivery packaging,,,United States,,,,,,,,Provides delivery solutions while intergating circular economy with zero waste 
Kaat,,Lipton,low priority,Refillable Products,Consumer Goods ,Pakistan,Contact us,LIPTON Teas and Infusions: The tea global leader,Yes,,,,Active,Sub-brand (Unilever / Ekaterra),Drinks at refill stations in malls,,,Pakistan,,,,,,,,Offers their drinks at refill sations in malls
Jishnu,,Little Plant Pantry,"02/07, Jishnu",Zero Waste ,Consumer Goods,Netherlands,hello@littleplantpantry.com,https://littleplantpantry.com/,Yes,,,,Active,Private,Package-free plant-based ethically sourced grocery in reusable containers (Amsterdam),,,Netherlands,,,,,,,,"A packaging-free grocery store in Amsterdam focusing on plant-based, ethically sourced products sold in reusable containers."
Giulia ,,Lizee,45840,Reusable Packaging ,Business Service Provider,France,contact@lizee.co ,https://www.lizee.co/,Yes,,,,Active,Private,Enabling brands to integrate rental and second-hand sales with circular logistics,,,France,,,,,,,,Enables brands to integrate rental and second-hand sales with ciruclar logistics 
Jishnu,,LocknLock,low priority,Reusable Products,Consumer Goods,South Korea,https://www.instagram.com/locknlock_korea,https://www.locknlock.com/eng/,Yes,locknlock_korea,Yes,1978,Active,Public listed (KOSDAQ: 115390),B2C kitchenware + Love for Planet container upcycling/collection campaign,,,South Korea and global,,,,,,,,A global home and kitchenware company with a long-running Love for Planet campaign that collects old plastic containers for upcycling and reuse.
Jishnu,,Lola,"03/07, Jishnu",Refill Stations,Consumer Goods,Switzerland,https://lola.ch/kontakt/,https://lola.ch/,Yes,,,,Active,Private (community-run),Community unpackaged organic bulk store — reusable containers (Bern),,,Switzerland,,,,,,,,"Community-run unpackaged store in Bern offering bulk organic foods, drinks, and home-care items dispensed into reusable containers."
Prathmesh ,,LoopedIn,low priority,Reusable Packaging ,Consumer Goods,Singapore,contact@loopedin.com.sg,https://loopedin.com.sg/,Yes,,,,Active,Private,QR-tracked reusable food-grade containers for F&B and corporate reuse,,,Singapore,,,,,,,,"Implements a reuse-return-repeat model for food/beverage outlets and corporates: reusable food-grade containers tracked by QR, cleaned and redeployed"
"Giulia , 30/06",,Loopfront ,30/06,Reuse of building materials ,Construction materials ,Norway ,support@loopfront.com,https://www.loopfront.com/,Yes,,,,Active,Private,Platform for reusable building materials from furniture to fixtures,,,Norway,,,,,,,,Offers reusable materials from furniture and fixtures to building materials 
"Giulia , 30/06",,Looping ,30/06, Reuse supply chain ,Packaging Solution ,Norway ,kontakt@looping.no ,https://www.looping.eco,Yes,,,,Active,Private,Durable reusable transport packaging for construction and housing modules,,,Norway,,,,,,,,"Offers durable and resuable transport packaging for construction modules, housing modules and steel contianers "
Jishnu,,loopipak,"02/07, Jishnu",Reusable Packaging ,Business Service Provider,Belgium,sales@loopipak.be,https://www.loopipak.be/en,Yes,,,,Active,Private,B2B reusable industrial and e-commerce containers (rent-or-buy schemes),,,Belgium,,,,,,,,Delivers reusable industrial and e‑commerce containers under rent‑or‑buy schemes to reduce packaging flows and costs.
Giulia ,,Ma Bouteille S'appelle Reviens ,not suitable currently,Refill and Reuse supply chain ,Packaging Solutions,France,contact@maboutiellerevient.fr,https://www.ma-bouteille.org/,Yes,,,,Active,Non-profit,Bottle washing and return network across France,,,France,,,,,,,,Offers a washing system and bottle return for reuse across France
Jishnu,,Maji Milele,low priority,Refill Stations,Business Service Provider,Kenya,servicecentre@water-forever.com,https://www.water-forever.com/,Yes,,,,Active,Private social enterprise,Smart prepaid water ATMs allowing households to refill jerrycans with safe water,,,Kenya,,,,,,,,"Runs prepaid smart meters and water ATMs that allow households to refill jerrycans with safe water, reducing bottled plastic dependence."
Jishnu,,Mapeei Colab,low priority,Zero Waste,Consumer Goods,Brazil ,online@umavidasemplastico.com.br,https://www.mapeei.com.br/store,Yes,,,,Active,Private,"Zero-waste lifestyle store (package-free groceries, personal care, home goods)",,,Brazil,,,,,,,,"A zero-waste lifestyle store offering package-free groceries, personal care items, and home goods to support waste-free everyday living."
Jishnu,,Maria Granel,"24/06, Jishnu",Refill Stations,Consumer Goods,Portugal,geral@mariagranel.com,https://www.mariagranel.com/,,,,,,,,,,,,,,,,,,"Bulk-food and eco-product retailers offering refills for dry goods, cleaning liquids, and personal care items in reusable containers."
Jishnu,,Matterpieces,not suitable currently,Reusable Products,Materials Supplier,Portugal,hello@matterpieces.com,https://matterpieces.com/,Yes,,,,Active,Private,Reusable construction components — scaffolding and façade systems,,,Portugal,,,,,,,,Designs reusable construction components such as scaffolding and façade systems to support sustainable circular building projects.
Jishnu,,Meadow,"04/07, Jishnu",Zero Waste ,Consumer Goods,Sweden,https://www.linkedin.com/company/meadowglobal/,https://meadow.global/,Yes,,,,Active,Private,Circular refill system — reusable dispensers + recyclable aluminium-can cartridges,,,Sweden,,,,,,,,Offers a circular refill system combining reusable dispensers with recyclable aluminium‑can cartridges that pierce on insertion to replace single‑use packaging
Jishnu,,Megloo,low priority,Reusable Products ,Business Service Provider,Japan,https://megloo.jp/#contact,https://megloo.jp/,Yes,,,,Active,Private,Borrow-and-return takeaway container system for café networks and events,,,Japan,,,,,,,,Borrow and return system for takeaway food containers enabling Reusable Packaging across partnered café networks and events.
Prathmesh,,Meliora Cleaning,"27/06, Jishnu",Refillable Products,Cleaning Products,United States,info@meliorameansbetter.com,https://meliorameansbetter.com/,Yes,meliorameansbetter,Yes,2013,Active,Private (B-Corp certified),B2C eco cleaning products in sustainable packaging,,,United States,,,,,,,,Provides eco-friendly cleaning products in sustainable packaging​
Jishnu,,Melodea,not suitable currently,Reusable Packaging,Packaging Solutions,Israel,https://www.linkedin.com/company/melodea-bio/,https://melodea.eu/,Yes,,,,Active,Private startup,Cellulose-based barrier coatings to prolong packaging life and enable reuse,,,Israel,,,,,,,,Creates cellulose-based barrier coatings that prolong packaging life and facilitate reuse and compostability.
Prathmesh,,Meow Meow Tweet,"27/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,United States,press@meowmeowtweet.com,https://meowmeowtweet.com/,Yes,meowmeowtweet,Yes,2009,Active,Private,B2C vegan refillable deodorant + compostable packaging,,,United States,,,,,,,,"Vegan consumer products, refillable deodrant and compostible packaging"
Jishnu,,Mercado Circular,not suitable currently,Refill Stations,Business Service Provider,Mexico,contacto@mercadocircular.com,https://www.mercadocircular.com/,Yes,,,,Active,Private,"In-store refill vending machines (shampoo, detergent, pet food) + package-free shopping",,,Mexico,,,,,,,,"Operates in-store refill vending machines for shampoo, detergent, and pet food and promotes package-free shopping and container reuse."
Jishnu,,Method,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,https://methodproducts.co.uk/contact/,https://methodproducts.co.uk/,Yes,methodproducts,Yes,2001,Active,"Subsidiary (SC Johnson, acquired 2017)",B2C eco cleaning + refill pouches + closed-loop production,,,United Kingdom and global,,,,,,,,"Sells refillable soaps and cleaners in recycled plastic bottles, with refill pouches and closed-loop production."
Jishnu,,Meu Copo Eco,low priority,Reusable Products ,Consumer Goods,Brazil ,contato@meucopoeco.com.br,https://www.meucopoeco.com.br/,Yes,,,,Active,Private,Reusable cups + customisable returnable cups for events and corporates,,,Brazil,,,,,,,,Provides reusable cups and a service offering customizable returnable cups for events and corporate use with washing and logistics support.
Mehak,,Mi Barrio Sin Residuos (UNDP project),low priority,At-home recycling and reuse,"Household waste, packaging",Paraguay,via UNDP Paraguay,http://py.undp.org,,,,,,,,,,,,,,,,,,	Encourages zero waste practices & connects pickers to citizens
Kaat,,Migros,not suitable currently,Refillable products ,Consumer Goods ,Turkey,https://www.migroskurumsal.com/en/wish-request-complaint-form,https://www.migros.com.tr,Yes,migros,Yes,1954,Active,"Subsidiary (Turkish Migros — Migros Ticaret A.Ş., BIST: MGROS)",Supermarket chain with OMO product refill dispensers,,,Turkey,,,,,,,,Supermarket that sells the OMO products in dispensers
Jishnu,,Milch Mehrweg Pool,not suitable currently,Reusable Packaging ,Consumer Goods ,Germany,post@machmehrweg.de,https://mmp-ev.de/,Yes,,,,Active,Non-profit/cooperative,"National milk and dairy glass-bottle pooling (return, standardised washing, reuse)",,,Germany,,,,,,,,"National milk and dairy glass-bottle pooling system with return, standardized washing, and reuse infrastructure."
Jishnu,,Milly & Sissy,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,enquiries@millyandsissy.co.uk,https://millyandsissy.co.uk/,Yes,,,,Active,Private,Powder-format refills of personal care products for home mixing in reusable containers,,,United Kingdom,,,,,,,,Provides powder-format refills of personal care products (in compositible sachets) for home mixing in reusable containers.
Jishnu,,Mind the Trash,"02/07, Jishnu",Zero Waste,Consumer Goods,Portugal,https://mindthetrash.pt/contacto/,https://mindthetrash.pt/,Yes,,,,Active,Private,"Online zero-waste retailer — sustainable, reusable and refillable household and beauty",,,Portugal,,,,,,,,"Online zero-waste retailer providing sustainable, reusable, and refillable household and beauty products in eco-friendly packaging."
Prathmesh ,,MiniMakers,low priority,Sustainable Goods,Materials Supplier,Singapore,https://minimakers.sg/pages/contact-us,https://minimakers.sg/,Yes,,,,Active,Private,Singapore's largest beeswax wrap manufacturer (sustainable food storage alternative),,,Singapore,,,,,,,,"Minimakers is Singapore’s largest manufacturer of beeswax wraps, a sustainable alternative to storing leftover food"
Jishnu,,Minimal Waste Grocery,"02/07, Jishnu",Refill Stations,Consumer Goods,Ireland,hello@minimalwastegrocery.com,https://minimalwastegrocery.com/,Yes,,,,Active,Private,Zero-waste delivery service for refilled pantry staples and beauty goods,,,Ireland,,,,,,,,"Zero‑waste delivery service supplying refilled pantry staples, beauty products, and cleaning goods plastic‑free."
Jishnu,,Minimize Zero Waste Store,low priority,Zero Waste,Consumer Goods,Malaysia,mnmzero.waste@gmail.com,https://www.minimizezerowaste.com/,Yes,,,,Active,Private,Bulk retail + zero-waste cleaning and pantry staples + used cooking oil buy-back,,,Malaysia,,,,,,,,"Bulk retail store for zero-waste cleaning and pantry staples, with a used cooking oil buy-back program."
Kaat,,Miniml,"27/06, Jishnu",Refillable products,Packaging solutions ,United Kingdom,hello@miniml.co.uk,https://minimlrefills.co.uk,Yes,minimlrefills,Yes,2019,Active,Private limited company,B2C refillable cleaning and personal care — refill-by-post + retail partners,,,United Kingdom,,,,,,,,Produces Reusable Packaging and offers refills
Jishnu,,miniml,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,hello@miniml.co.uk,https://minimlrefills.co.uk/,,,,,,,,,,,,,,,,,,Sells non-toxic cleaning and personal care products with refill-by-post and returnable bottle options across retail partners.
Jishnu,,Minus Zero Waste Store,low priority,Zero Waste,Consumer Goods,Malaysia,minuszerowaste@gmail.com,https://www.minuszerowaste.com/,Yes,,,,Active,Private,Online zero-waste retail store,,,Malaysia,,,,,,,,Online zero-waste retail store.
Kaat,,Mio Bio,"03/07, Jishnu",Zero Waste,Consumer Goods ,Denmark ,office@miobio.ro,https://www.miobio.ro,Yes,,,,Active,Private,Zero-waste cosmetics and reusable wrapping materials shop,,,Denmark,,,,,,,,Zero waste shop thats sells cosmetics and reusable wrapping materials
Kaat,,Mission Reuse,not suitable currently,Reusable Packaging ,Packaging solutions ,Netherlands,https://missionreuse.com/home-2/,https://missionreuse.com/contact-en/,Yes,,,,Active,Private,B2B reusable packaging system embedding into society,,,Netherlands,,,,,,,,Tries to embed reusable packiging into society
Jishnu,,Mission Zero (Refill Revolution),7/7 Krita,Zero Waste advocacy,Community networking for sustainable practice ,New Zealand,action@missionzero.nz,https://missionzero.nz/refill-revolution/,Yes,,,,Active,Non-profit,National refill station and low-packaging circular movement,,,New Zealand,,,,,,,,National movement encouraging businesses and municipalities to set up refill stations and low‑packaging circular solutions across towns.
Giulia ,,Miwa,45840,Refillable Products,Consumer goods ,Czechia,info@miwa.eu ,https://www.miwa.eu/,Yes,miwa_eu,Yes,2017,Active,Private,Smart NFC dispensers for bulk grocery and personal care refill,,,"Czech Republic, EU",,,,,,,,Smart dispensing system for bulk grocery & personal care refill.
Kaat,,Miya,"03/07, Jishnu",Refillable products ,Cosmetics,Poland,hello@miyacosmetics.com,https://miyacosmetics.com/en?srsltid=AfmBOoqm0iEbNRTqn44UXa8_Q2mMdKovjueO_0uIalIiyu6xq8yJRiIF,Yes,,,,Active,Private,Cosmetics refill service,,,Poland,,,,,,,,Offers refills for cosmetics
Prathmesh ,,Moon Berry Made,"24/06, Jishnu",Refillable Products,Consumer Goods,United States,moonberrymade@gmail.com,https://www.moonberrymade.com/,,,,,,,,,,,,,,,,,,Provides eco-friendly consumer products ranging from organic groceries to sustainably sourced goods
Julia,,moreloop,low priority,Zero Waste,Textiles,Thailand,+(66) 81 559 9855 (tel only),https://moreloop.ws/,Yes,,,,Active,Private,Surplus fabric marketplace + upcycling of fabric scraps into new products,,,Thailand,,,,,,,,Online marketplace for surplus fabrics from textile producers. Upcycles fabric scraps into new products
Kaat,,Mosaiq Group,"03/07, Jishnu",Luxurious Reusable Packaging,Packaging solutions ,Italy,info@mosaiqgroup.org,https://www.mosaiqgroup.org,Yes,,,,Active,Private,B2B luxury reusable packaging for premium brands,,,Italy,,,,,,,,Provide luxurious Reusable Packaging to other businesses
Sam,,Mottainai Refill,low priority,Refillable packaging,Consumer Goods ,Colombia,https://www.instagram.com/mottainai_refill/,N/A,,,,,,,,,,,,,,,,,,Household & personal-care refill startup operating across Colombia. Customers bring reusable containers and pay by weight.
Mehak,,Mottainai Refill,low priority,Refill of hygiene and cleaning products,Household & personal care	,Colombia,Not publicly listed,Featured via Greenpeace Colombia,,,,,,,,,,,,,,,,,,Offers refill-by-weight model; small-scale impact
Kaat,,Mottainai Refill,low priority,Refillable Products,Consumer Goods,Argentina,https://www.instagram.com/mottainai_refill/,not launched yet,,,,,,,,,,,,,,,,,,Offers refillable biodegradable products
Kaat,,MovoPack,"02/07, Jishnu",Reusable Packaging,Packaging solutions ,Italy,https://movopack.com/get-a-free-sample/,https://movopack.com,Yes,,,,Active,Private,Reusable e-commerce packaging,,,Italy,,,,,,,,Offers Reusable Packaging for e-commerce
Jishnu,,Muji,low priority,Refillable Products,Consumer Goods,Japan,https://www.facebook.com/muji.jp,https://www.muji.com/jp/ja/store,Yes,muji_global,Yes,1980,Active,"Subsidiary (Ryohin Keikaku Co., Ltd., TSE: 7453)",Minimalist retail + refill stations + weight-based pantry staples,"4,000+ employees",,Japan and global,,,,,,,,Minimalist retailer with pantry staples sold by weight and liquid detergent refills at flagship store refill stations.
Kaat,,Multi Pack,low priority,Reusable Packaging,Packaging Solutions,Pakistan,Multipack Logistics – Contract Packing and eCommerce Fulfillment Specialists,Multipack Logistics – Contract Packing and eCommerce Fulfillment Specialists,Yes,,,,Active,Private,"Durable reusable crates, pallets, buckets and bins",,,Pakistan,,,,,,,,"Produces durable and reusable plastic crates, pallets, buckets and bins"
Prathmesh,,Muuse,low priority,Reusable Packaging Supply Chain,Consumer Goods,Singapore,info@muuse.io,https://www.muuse.io/,Yes,,,,Active,Private,B2B reusable packaging for food and beverage outlets,,,Singapore,,,,,,,,Offers Reusable Packaging solutions to businesses aimed at reducing plastic waste​
Julia,,MuvMi,low priority,Sustainable Products,Transportation,Thailand,marketing@umt.ltd,https://muvmi.co/en,Yes,,,,Active,Private,600+ electric tuk-tuks reducing urban emissions,,,Thailand,,,,,,,,Operates 600+ electric tuk‑tuks reducing emissions in urban transit 
"Giulia, 29/06",,My Green Pod ,"27/06, Jishnu",Refillable Cosmetics,Consumer goods ,United Kingdom,hello@mygreenpod.com ,https://www.mygreenpod.com/hero-products/,Yes,,,,Active,Private,Online marketplace for refillable and reusable beauty products,,,United Kingdom,,,,,,,,Online marketplace that promotes refillable and reusable beauty products 
Prathmesh ,,My Naked Bar,low priority,Sustainable Goods,Consumer Goods,Singapore,mynakedbar@gmail.com,https://www.mynakedbar.com/,,,,,,,,,,,,,,,,,,"Handcrafted soaps made using sustainable fresh ingredients such as cucumber, aloe vera, rice, and oat milk"
Prathmesh ,,MyEarth,low priority,Eco-friendly product ,Consumer Goods,Singapore,enquiry@mylearth.com.sg,https://www.mylearth.com.sg/,,,,,,,,,,,,,,,,,,"Bio-composite plastic products that are less harmful, toxic and are recyclable"
Krita,,Mymizu,low priority,Refill and Reuse supply chain ,Consumer goods ,Japan,https://www.mymizu.co/contact,https://www.mymizu.co/home-en ,Yes,mymizu_co,Yes,2019,Active,Private social enterprise,"App + 200,000 global water refill points for free bottle refills",,,Japan and global,,,,,,,,"Provide people with access to 200,000 water refill points globally for free refills, as well as creative educational experiences, consultancy services, lifestyle products. "
Jishnu,,mymizu,low priority,Software Provider,Consumer Services,Japan,https://www.mymizu.co/contact,https://www.mymizu.co/,,,,,,,,,,,,,,,,,,"App-based network connecting users to thousands of free public bottle refill stations, promoting water bottle reuse nationwide."
Giulia ,,Mymizu PH	,45840,Refill Stations,Consumer Goods ,Philippines,hello@mymizu.co,https://www.mymizu.co/,Yes,,,,Active,Private,App connecting users to water refill stations,,,Philippines,,,,,,,,Offers an app encouraging water bottle reuse by connecting users with refill stations.
Prathmesh,,Myro,"27/06, Jishnu",Refillable Products,Consumer Goods,United States,Help@mymyro.com,https://www.mymyro.com/,Yes,mymyro,Yes,2018,Active,Private,B2C refillable deodorant subscription,,,United States,,,,,,,,Offers refillable household products aimed at reducing plastic waste​
Jishnu,,Naber si,"02/07, Jishnu",Zero Waste ,Consumer Goods,Czechia,nabersibezobalu@gmail.com,https://www.naber.si/,Yes,,,,Active,Private,Package-free eco-goods store — hundreds of products sold without packaging by weight,,,Czech Republic (Prague),,,,,,,,Prague’s eco-goods store offering hundreds of food and personal care products sold without packaging and refillable by weight.
Kaat,,Nashonuma,low priority,Reusable packaging ,Packaging Solutions,Pakistan,info@nashonuma.com,Eco-Friendly Products & Planet Friendly Packaging - Nashonuma,,,,,,,,,,,,,,,,,,"Offers planet-friendly packaging, also offers reusable goods eg straws"
Jishnu,,Natura,low priority,Refillable Products,Consumer Goods,Brazil ,https://www.naturabrasil.com/pages/contact-us,https://www.naturabrasil.com/,Yes,naturabrasil,Yes,1969,Active,Public listed (B3: NTCO3; Nasdaq: NTCO) — Natura&Co,B2C cosmetics + sugarcane-based plastic refill pouches,"7,000+ employees",,Brazil and Latin America,,,,,,,,First Brazilian cosmetics company offering sugarcane‑based plastic refill pouches for popular product lines to drastically reduce plastic waste.
Kaat,,Natural Living,"03/07, Jishnu",Sustainable Products,Consumer Goods ,Denmark ,info@naturalliving.dk,https://naturalliving.dk,Yes,,,,Active,Private,"Reusable containers, sustainable skincare, kitchen and cleaning supplies",,,Denmark,,,,,,,,"Sell reusable containers, sustainable skincare, kitchen supplies, cleaning equipment, etc"
Jishnu,,Naturals by Watsons,low priority,Refill Stations,Consumer Goods,Hong Kong,grouppr@aswatson.com,https://www.aswatson.com/refill-for-a-better-tomorrow/,Yes,,,,Active,Subsidiary (A.S. Watson Group),"Retail chain refill initiative for shampoo, soap etc in refillable bottles",,,Malaysia and Hong Kong,,,,,,,,"Refill initiative by retail chain offering shampoo, soap, etc., in refillable bottles in Malaysia and Hong Kong."
Jishnu,,Natures Organics,7/7 Krita,Refillable Products,Consumer Goods ,Australia,enq@naturesorganics.com.au,https://naturesorganics.com.au/,Yes,naturesorganics,Yes,1969,Active,Private family-owned,B2C eco laundry/cleaning + aluminium starter bottle and refill pouches,,,Australia,,,,,,,,"Offers aluminium starter bottles and refill pouches for laundry and cleaning products, reducing plastic waste through reuse."
Giulia ,,Neat Essentials ,45840,Refillable products ,Consumer products ,United Kingdom,hello@neatclean.com,https://neatclean.com/,Yes,neatclean,Yes,2020,Active,Private,Refillable concentrate household cleaning products,,,United Kingdom,,,,,,Same company as Neat. (neatclean.com).,,Produces refillable concentrates for household cleaning to reduce plastic waste.
Jishnu,,Neat.,"25/06, Jishnu",Refillable Products,Consumer Goods,United Kingdom,https://www.linkedin.com/company/neatclean/?originalSubdomain=uk,https://neatclean.com/,Yes,neatclean,Yes,2020,Active,Private,B2C concentrate cleaning + reusable aluminium spray bottles + plastic-free refills,,,United Kingdom,,,,,,,,Provides concentrated cleaning products sold with reusable aluminum spray bottles and plastic-free refills for everyday cleaning.
Prathmesh,,Net Zero Co.,"01/07, Jishnu",Zero Waste,Packaging Solutions,United States,hello@netzerocompany.com,https://www.netzerocompany.com/,,,,,,,,,,,,,,,,,,"Collaborating with Tru Earth, the brand provides sustainable packaging solutions"
Kaat,,Netpak Ambalaj,"04/07, Jishnu",Reusable Packaging ,Packaging Solutions,Turkey,https://www.netpakambalaj.com/en/contact-s-1,https://www.netpakambalaj.com/en/,Yes,,,,Active,Private,B2B reusable organic cotton shopping bags,,,Turkey,,,,,,,,Sells reusable shopping bags from organic materials eg cotton
Jishnu,,New ERA,not suitable currently,Refill and Reuse supply chain ,Policy/Infrastructure Project,Belgium,info@newreusealliance.eu,https://newreusealliance.eu/,Yes,,,,Active,Trade association (non-profit),EU reuse system business advocacy and policy collaboration,,,Belgium and EU,,,,,,,,Trade association uniting EU reuse system businesses and advocating for scalable circular packaging policies and collaboration.
Giulia ,,No Tox Life ,45840,Refillable products ,Consumer products ,United Kingdom,hello@notoxlife.com ,notoxlife.com,Yes,notoxlife,Yes,,Active,Private,B2C refillable plastic-free household cleaning products,,,United States,,,,,,,,"Refillable, plastic-free household cleaning products to minimize environmental impact."
Jishnu,,Noms,"02/07, Jishnu",Refill Stations,Consumer Goods,Ireland,info@noms.ie,https://noms.ie/,Yes,,,,Active,Private,Organic zero-waste grocer with refill dispensers and reusable packaging,,,Ireland,,,,,,,,Organic zero‑waste grocer offering sustainable produce with an emphasis on refill dispensers and reusable packaging.
Jishnu,,NOPA Move,low priority,Reusable Products,Consumer Goods,Vietnam,we@saynopa.com,https://saynopa.com/en,Yes,,,,Active,Private,Reusable modular cold drink bottles + deposit-based refill adoption,,,Vietnam,,,,,,,,Manufactures reusable modular cold drink bottles designed for everyday use and supports deposit based refill adoption across urban beverage outlets.
Jishnu,,Nourishing Neighbours,low priority,Refill Stations,Social Enterprise,Australia,vaissy@nourishingneighbours.org.au,https://www.nourishingneighbours.org.au/,Yes,,,,Active,Non-profit,Community bulk food refill station + emergency food relief support,,,Australia,,,,,,,,Runs a community bulk food refill station where customers use their own containers to purchase staples while supporting emergency food relief.
Jishnu,,Nude Foods,"03/07, Jishnu",Refill Stations,Consumer Goods,South Africa,shop@nudefoods.co.za,https://nudefoods.co/,Yes,nudefoods,Yes,,Active,Private,Plastic-free bulk grocery stores in Cape Town,,,South Africa,,,,,,,,"Operates plastic-free grocery stores in Cape Town selling pantry staples, household items and beauty products in bulk to encourage container reuse and sustainable shopping."
Kaat,,Nuhunambari,"04/07, Jishnu",Zero Waste ,Consumer Goods ,Turkey,ambar@nuhunambari.com,https://www.nuhunambari.com,Yes,,,,Active,Private,Zero-waste shops selling goods unpackaged or in ecological packaging,,,Turkey,,,,,,,,Zero waste shops that sells goods unpackaged or in ecological packaging
Jishnu,,Null Zero Waste Factory,low priority,Refillable Products,Consumer Goods,Malaysia,https://www.facebook.com/NULLzerowasteFactory/,https://nullzerowastefactory.com/,Yes,,,,Active,Private,"Zero-waste essentials and refillables (online, retail, popup) + bottle buy-back scheme",,,Malaysia,,,,,,,,"Zero-waste essentials and refillables, distributed through online, retail, and popup channels; incentivises bring-your-own-container and has a bottle buy-back scheme."
